"pt2_part","pt2_desc1","pt2_desc2","pt2_um","pt2_prod_line","pt2_part_type","pt2_status","pt2_domain","pt2_bulk","pt2_blk_enduse","pt2_macost","pt2_rmcost","pt2_rdcost","pt2_ohcost","pt2_ovcost","pt2_sucost","pt2_lbcost","pt2__dec01","pt2_mfg_part","pt2_cst_mat","pt2_cst_ovh","pt2_cst_oth","pt2_created","pt2_updated","pt2_cst_tot","pt2_cst_VMM","pt2_sta","pt2_pr","pt2_lot_size","pt2_alt_um1","pt2_conv1","pt2_shelf","pt2_char#1","pt2_char#2","pt2_char#3","pt2_char#4","pt2_deci#1","pt2_deci#2","pt2_deci#3","pt2_deci#4","pt2_color_code"
"#","GTA205/160KG INTERNATIONAL THINNER","","EA","","TRAD","","KOR","","",0,0,0,0,0,0,0,0,"",0,0,0,20/03/05,20/04/03,0,0,"","",0,"",0,0,"","","","",0,0,0,0,""
"#6000/18LT","DPI","EPOXY PUTTY","EA","6102","MECH","AS","KOR","#6000","",0,60000,0,0,0,0,0,0,"",0,0,0,?,?,0,0,"","",0,"LT",18,0,"","","","",0,0,0,0,""
"000000000000125130","PT1665 25KG TiONA 826","","KG","","RAW","AR","KOR","","",0,3267,0,33,0,0,0,0,"PT1665",3300000,0,0,?,26/06/10,3300000,3300000,"KA","S",1000,"L",1,60,"","","","",0,0,0,0,""
"000000000000127140","AD1392 200KG ETERKYD TT0700-A0 55%","","KG","","RAW","AR","KOR","","",0,1904,124,58,0,0,0,0,"AD1392",2086000,0,0,?,26/06/10,2086000,2086000,"KA","S",1000,"L",1.03,365,"","","","",0,0,0,0,""
"000000000000127151","BH1103 25KG HIKOTACK P-90","","KG","","RAW","AR","KOR","","",0,2142,0,0,0,0,0,0,"BH1103",1982231,0,0,?,26/06/10,1982231,1982231,"KA","S",1000,"L",.97,730,"","","","",0,0,0,0,""
"000000000000127159","CA0040 200KG FILMER IBT(TEXANOL)","","KG","","RAW","AR","KOR","","",0,2500,0,0,0,0,0,0,"CA0040",2500000,0,0,?,26/06/10,2500000,2500000,"KA","S",1000,"L",1.05,36,"","","","",0,0,0,0,""
"000000000000127160","CA0041 210KG BENZYL ALCOHOL","","KG","","RAW","AR","KOR","","",0,2900,0,0,0,0,0,0,"CA0041",2900000,0,0,?,26/06/10,2900000,2900000,"KA","S",1000,"L",1,36,"","","","",0,0,0,0,""
"000000000000127167","CE0003 180KG N-BUTYL ACETATE","","EA","","","","KOR","","",0,0,0,0,0,0,0,0,"",1000,0,0,26/02/11,26/02/11,1000,1000,"KA","S",1000,"",0,0,"","","","",0,0,0,0,""
"000000000000127170","CE0115 190KG BUTOXYL","","KG","","RAW","AR","KOR","","",0,8400,0,0,0,0,0,0,"CE0115",8400000,0,0,?,26/06/10,8400000,8400000,"KA","S",1000,"L",1.05,730,"","","","",0,0,0,0,""
"000000000000127179","CK0014 190KG CYCLOHEXANONE","","KG","","RAW","AR","KOR","","",0,2000,0,0,0,0,0,0,"CK0014",2000000,0,0,?,26/06/10,2000000,2000000,"KA","S",1000,"L",1.11,36,"","","","",0,0,0,0,""
